active_uncertainty_rank,active_uncertainty_score,active_learning_action,active_learning_reasons,state_ut,district_name,planning_category,observed_facility_rows,health_need_score,care_gap_score,trust_gap_score,district_medical_desert_priority_score,district_data_quality_score,district_uncertainty_level,aggregate_ci_width,sample_size_uncertainty_score,needs_human_review_rate,needs_human_review_rate_ci_low,needs_human_review_rate_ci_high,critical_supply_gap_rate,critical_supply_gap_rate_ci_low,critical_supply_gap_rate_ci_high,trustworthy_supply_rate,trustworthy_supply_rate_ci_low,trustworthy_supply_rate_ci_high,capacity_observed_rate,capacity_observed_rate_ci_low,capacity_observed_rate_ci_high,doctor_observed_rate,doctor_observed_rate_ci_low,doctor_observed_rate_ci_high,sample_facility_names,sample_claim_evidence,sample_source_urls
1,0.8373,stress_test_desert_call,"[""high_care_gap"", ""high_health_need"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Bihar,Kishanganj ,real_desert_candidate,1,0.6751062322946176,0.7985351484098129,0.8999999999999999,0.7569364598983841,0.695,higher,0.7935,0.95,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,A.R DENTAL EXPERT - Kishanganj Branch,"Kishanganj Branch of A.R DENTAL EXPERT, a leading multispecialty dental clinic. | [""familyMedicine"",""familyMedicine"",""dentistry"",""familyMedicine"",""internalMedicine""] | [""Dental implant placement"",""Scaling and polishing"",""Root canal treatment"",""Teeth whitening"",""Zirconia crowns placement"",""Orthodontic braces placement"",""Tooth extraction""] | [""Dental drill used for procedures"",""Dental chair with overhead light"",""Instruments tray with dental hand instruments""] | [""Two branches in Kishanganj and Darbhanga, Bihar"",""Multispecialty dental clinic"",""Led by Dr. Ahtesham and Dr. Reshma"",""Focus on aesthetic dentistry and radiant smile"",""Locations in Bihar, India"",""Operates as a clinic and academy"",""Has branches in Darbhanga and Kishanganj, Bihar, India"",""Director is Dr. Ahtesham, a dental surgeon"",""Chief Dental Surgeon is Dr. Reshma Naiyer"",""Provides aesthetic dentistry services"",""Operates as a dent","[""https://ardentalexpert.com/"",""https://ardentalexpert.com/about/"",""https://www.facebook.com/DrReshmaNaiyer/"",""https://www.facebook.com/104683287720730"",null]"
2,0.8314,stress_test_desert_call,"[""high_care_gap"", ""high_health_need"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Bihar,Siwan ,real_desert_candidate,1,0.6562204910292729,0.7881479907138733,0.8999999999999999,0.74466072807591,0.618,higher,0.7935,0.95,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,Adarsh Hospital,"The hospital you trust to care for those you love | [""internalMedicine"",""pediatrics"",""neurology"",""pathology"",""generalSurgery"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine""] | [""Offers laboratory analysis services"",""Provides surgical services""] | [] | [""Has 5+ intensive care units"",""Has 50+ medical beds"",""Has 20+ doctors on staff"",""Located in Madhuban, Bihar, India""]","[""https://adarshcare.com/"",""https://www.facebook.com/102299985981482"",""http://www.onefivenine.com/india/Listing/Town/hospitals/Purbi-Champaran/Madhuban"",""https://www.facebook.com/343024666296217"",""https://buxar.nic.in/registered-hospital-list/"",null,null]"
3,0.8276,stress_test_desert_call,"[""high_care_gap"", ""high_health_need"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Madhya Pradesh,Mandla ,real_desert_candidate,2,0.6818932955618507,0.761782203247277,0.9999999999999999,0.7046678890787658,0.582,higher,0.6576,0.9,1.0,0.34237195288961925,1.0,1.0,0.34237195288961925,1.0,0.0,0.0,0.6576280471103807,0.0,0.0,0.6576280471103807,0.0,0.0,0.6576280471103807,"Ujjain District Hospital; District Hospital, Mandya","Public district hospital in Madhya Pradesh, India. In a 2010 study of public district hospitals in Madhya Pradesh, the Ujjain district hospital had a technical efficiency score of 1 and a scale efficiency score of 0.688, with decreasing returns to scale (DRS). | [""internalMedicine"",""gynecologyAndObstetrics"",""internalMedicine"",""gynecologyAndObstetrics"",""familyPlanningAndComplexContraception"",""gynecologyAndObstetrics"",""radiology"",""otolaryngology"",""pathology"",""internalMedicine"",""endocrinologyAndDiabetesAndMetabolism"",""neurology"",""psychiatry"",""cardiology"",""spineNeurosurgery"",""dermatology"",""psychiatry"",""endocrinologyAndDiabetesAndMetabolism"",""cardiology"",""vascularSurgery"",""neuroimmunology"",""colorectalSurgery"",""internalMedicine"",""neurology"",""cardiology"",""endocrinologyAndDiabetesAndMetabolism"",""neurology"",""spineNeurosurgery"",""colorectalSurgery"",""neuroimmunology"",""internalMedicine"",""hematology"",","[""https://pmc.ncbi.nlm.nih.gov/articles/PMC3783661/"",""https://pmc.ncbi.nlm.nih.gov/articles/PMC3783661/"",""https://pubmed.ncbi.nlm.nih.gov/41170061/"",""https://www.nadisutra.org/our-centres/gandhinagar/"",""https://www.nadisutra.org/our-centres/gandhinagar/ayurved-chikitsa-kendra-randheja-gandhinagar-gujarat-6/"",""https://www.nadisutra.org/about/lada-parampara/bharatiya-traditional-treatments/"",""http://www.cashlesshospitalindia.com/blood-bank_district-hospital-blood-bank-mandla-mandla.html"",""https://www.justdial.com/Khargone/Blood-Bank-District-Hospital-Jaitapur/9999P7282-7282-170927014745-U2S4_BZDET"",""https://www.mappls.com/place-jeevika+diagnostics+district+hospital+chhindwara-opposite+adistrict-madhya+pradesh+state+highway+26-chhindwara-madhya+pradesh-480001+chhindwara-LM9ZT1@WRzdata=MjIuMDUxNjg3Kzc4LjkzNzY3MisxNytMTTlaVDE=ed"",""https://www.facebook.com/115281668289235"",""https://www.faceboo"
4,0.8274,stress_test_desert_call,"[""high_care_gap"", ""high_health_need"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Jharkhand,Dumka ,real_desert_candidate,1,0.6434726156751652,0.7811366592691142,0.8999999999999999,0.7363746090957399,0.571,higher,0.7935,0.95,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,Care Diagnostic,"Care Diagnostics offers health checkups and diagnostic test packages with online booking and a report portal. | [""familyMedicine"",""pathology"",""radiology"",""internalMedicine"",""familyMedicine""] | [] | [] | [""Care Diagnostics provides pathology and diagnostic laboratory services"",""Care Diagnostic is a diagnostic center"",""Medical laboratory facility located in Ranchi, Jharkhand, India.""]","[""http://www.onefivenine.com/india/Listing/Town/hospitals/Dumka/Dumka"",""http://www.care-diagnostics.com/"",""https://care-diagnostics.com/about.php"",""https://www.mappls.com/place-care+diagnostics-castairs+town-bompas+town-deoghar-jharkhand-814112-EWTAA3@zdata=MjQuNDg0MzI4Kzg2LjY5MTU2NysxNytFV1RBQTMrKw==ed"",""https://dir.indiamart.com/ranchi/x-ray-services.html"",""https://www.facebook.com/1674699912836040"",""https://www.facebook.com/101908904615239"",""https://www.proceed.fit/clinic/Geeta-Dental-Clinic-DEOGHAR-814112"",null,null,null]"
5,0.8236,uncertainty_band_reduction,"[""high_care_gap"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Jammu & Kashmir,Doda ,supply_record_quality_problem,1,0.5609065155807366,0.7357253042171783,0.9999999999999999,0.6827066440343613,0.604,higher,0.7935,0.95,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,Primary Health Centre Trown,"Primary Health Centre Changa is located at College Road Neeli Bhalessa, Jammu and Kashmir 182203. | [""familyMedicine"",""internalMedicine"",""familyMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""familyMedicine"",""internalMedicine"",""familyMedicine"",""internalMedicine"",""familyMedicine"",""internalMedicine"",""familyMedicine"",""internalMedicine"",""familyMedicine"",""internalMedicine"",""familyMedicine"",""internalMedicine"",""familyMedicine"",""familyMedicine"",""internalMedicine"",""familyMedicine"",""familyMedicine"",""internalMedicine"",""internalMedicine"",""familyMedicine"",""familyMedicine"",""internalMedicine"",""familyMedicine"",""internalMedicine"",""internalMedicine"",""familyMedicine"",""internalMedicine"",""infectiousDiseases"",""maternalAndChildHealth"",""familyMedicine"",""internalMedicine"",""familyMedicine"",""familyMedicine"",""internalMedicine"",""internalMedicine"",""familyMedic","[""http://www.onefivenine.com/india/villages/Doda/Thathri/Joura"",""https://www.onefivenine.com/india/Listing/Town/hospitals/Doda/Bhalessa_3agandoh_4a"",""http://www.onefivenine.com/india/villages/Srinagar/Srinagar/Raj-Bagh"",""http://www.onefivenine.com/india/Listing/Town/hospitals/Badgam/Chadoora"",""http://www.onefivenine.com/india/villages/Doda/Thathri/Joura"",""https://www.onefivenine.com/india/Listing/Town/hospitals/Doda/Bhalessa_3agandoh_4a"",""http://www.onefivenine.com/india/Listing/Town/hospitals/Baramulla/Tangmarg"",""http://www.onefivenine.com/india/Listing/Town/hospitals/Anantnag/Shangus"",""https://www.onefivenine.com/india/Listing/Town/hospitals/Anantnag/Achabal"",""http://www.onefivenine.com/india/villages/Badgam/Badgam/Choon"",""https://kashmirage.net/2021/01/08/covid-19-vaccination-dry-run-held-at-bgam-gbal-pul-blakup-kul/"",""https://kashmirreader.com/2024/02/03/uphc-hazratbal-bags-nqas-cert"
6,0.823,stress_test_desert_call,"[""high_care_gap"", ""high_health_need"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Punjab,Fazilka ,real_desert_candidate,1,0.6295443814919736,0.7734761304683588,0.8999999999999999,0.7273212568766654,0.696,higher,0.7935,0.95,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,Dr. Chatterjee Clinic,"Opposite Branch School based Dr. Chatterjee Clinic is a reputed homeopathy clinic run by renowned homoeopathy doctors. We treat all health problems including Hair Fall, Skin, Respiratory, Stomach Disorders, Infertility, Chronic Diseases, Psychological, Gastric Ailments, and much more. We render the best treatments in Opposite Branch School for a host of Women and Children-related ailments as well. | [""familyMedicine"",""familyMedicine"",""familyMedicine"",""internalMedicine""] | [""Hair Fall Treatment"",""Skin Treatment"",""Psoriasis Treatment"",""Eczema Treatment"",""Vitiligo Treatment"",""PCOS Treatment"",""Thyroid Treatment"",""Migraine Treatment"",""Sexual Health Treatment"",""Erectile Dysfunction Treatment"",""Premature Ejaculation Treatment""] | [] | [""Outpatient clinic"",""Offers homeopathic treatments for hair fall, skin disorders, PCOS, thyroid, migraine, and sexual health issues"",""Offers outpatient consultin","[""https://www.ohohomeopathy.com/homeopath/dr-chatterjee-clinic-opposite-branch-school-abohar.php"",""https://mamaniclinic.com/contact/"",""https://www.facebook.com/180305172551445"",null]"
7,0.8217,stress_test_desert_call,"[""high_care_gap"", ""high_health_need"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Bihar,Supaul ,real_desert_candidate,1,0.6252360717658167,0.7711065601189726,0.8999999999999999,0.7245208555546634,0.737,higher,0.7935,0.95,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,Rameshwar Homoeo Hall,"Chronic Disease Specialist with 25 year experienced..... | [""familyMedicine"",""chronicDiseasePreventionAndLifestyleMedicine"",""familyMedicine""] | [] | [] | [""Rameshwar Homoeo Hall has a chronic disease specialist on staff: Dr. Anil Kumar Das, HMDS (Darbhanga), MD (E.Hom.), Reg no 25127/22, with 25 years of experience."",""Rameshwar Homoeo Hall provides homeopathy-based medical care.""]","[""https://www.facebook.com/rameshwar852111/"",""https://www.facebook.com/103830664632072"",null]"
8,0.8214,uncertainty_band_reduction,"[""high_care_gap"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Jammu & Kashmir,Udhampur ,supply_record_quality_problem,1,0.553765344664778,0.7317976602134011,0.9999999999999999,0.6780648829389883,0.61,higher,0.7935,0.95,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,Redcliffe Labs - Collection Center Sail SallanUdhampur - 182101,"Redcliffe Labs - Collection Center (New Sunrise Laboratory) located in Jammu, Jammu & Kashmir. This collection center is part of Redcliffe Labs' network providing home sample collection and diagnostic services across India. Address: Ground Floor, Near Sub District Hospital, Akhnoor, Jowriya Road, Jammu, Jammu & Kashmir 181201. | [""pathology"",""radiology"",""pathology"",""radiology"",""pathology"",""radiology"",""pathology"",""radiology"",""pathology"",""radiology"",""gastroenterology"",""endocrinologyAndDiabetesAndMetabolism"",""nephrology"",""pathology"",""familyMedicine"",""pathology"",""internalMedicine"",""radiology"",""pathology"",""pathology"",""radiology"",""pathology"",""radiology"",""anatomicPathology"",""diagnosticRadiology"",""pathology"",""radiology"",""endocrinologyAndDiabetesAndMetabolism"",""gynecologyAndObstetrics"",""infectiousDiseases"",""pathology"",""radiology"",""familyMedicine"",""pathology"",""radiology"",""gastroenterology"",""family","[""https://redcliffelabs.com/centre/redcliffe-labs-collection-center-zaina-diagnostics-diagnostic-centre-bhaderwah-doda-169307/Home?utm_source=locator&utm_medium=bing"",""https://redcliffelabs.com/centre/redcliffe-labs-collection-center-i-health-diagnostic-centre-channi-himmat-jammu-188826/Home?utm_source=locator&utm_medium=bing"",""https://redcliffelabs.com/centre/redcliffe-labs-collection-center-new-sunrise-laboratory-diagnostic-centre-jowriya-road-jammu-289353/Home"",""https://redcliffelabs.com/centre/redcliffe-labs-collection-center-zaina-diagnostics-diagnostic-centre-bhaderwah-doda-169307/Home?utm_source=locator&utm_medium=bing"",""https://redcliffelabs.com/centre/redcliffe-labs-collection-center-bhavya-diagnostics-center-diagnostic-centre-muthi-jammu-165508/Home?utm_source=locator&utm_medium=bing"",""https://redcliffelabs.com/jammu"",""https://redcliffelabs.com/jammu/channi-himmat"",""https://red"
9,0.819,stress_test_desert_call,"[""high_care_gap"", ""high_health_need"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Uttar Pradesh,Bahraich ,real_desert_candidate,1,0.6167374881964117,0.7664323391557997,0.8999999999999999,0.7189967762345502,0.73,higher,0.7935,0.95,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,Bahraich Diagnostic Centre,"Diagnostic center located in Bahraich, Uttar Pradesh, India. | [""familyMedicine"",""pathology"",""radiology"",""familyMedicine""] | [""Executive Full Body Health Checkup (127 tests) includes Complete Urine Analysis, Toxic Elements, Complete Hemogram, Iron Deficiency, Diabetes, Renal, Lipid, Liver, Electrolytes, Thyroid, and Vitamin panels"",""Extensive Checkup with All 14 Vitamins (127 tests) includes Cancer Markers, Cardiac Risk Markers, Complete Hemogram, Urinogram, Diabetes, Electrolytes, Vitamins, and other panels"",""Aarogyam Basic (66 tests) includes Lipid, Thyroid, Diabetic, Iron Deficiency, CBC Hemogram, Kidney, Vitamin, Liver"",""Aarogyam Advanced (78 tests) includes Lipid, Thyroid, Diabetic, Iron Deficiency, Liver, CBC Hemogram, Kidney, Vitamin, Cardiac Risk Markers, Elements"",""Senior Citizen Profile Male (127 tests) includes Cancer Markers, Cardiac Risk Markers, Complete Hemogram, Complete ","[""https://www.facebook.com/102005698355801"",""https://www.diagnosticcentres.in/diagnostic-centres/uttar-pradesh/bahraich/bahraich-diagnostic-centre-.html"",""https://www.mediyaar.com/bahraich/labs/rahat-digital-x-ray-pathology-brahmnipura.html"",null]"
10,0.8147,uncertainty_band_reduction,"[""high_care_gap"", ""high_trust_gap"", ""higher_uncertainty_level"", ""wide_rate_confidence_intervals"", ""small_observed_facility_sample"", ""high_critical_supply_gap_rate""]",Arunachal Pradesh,East Kameng ,supply_record_quality_problem,1,0.5322828139754484,0.7199822683342698,0.9999999999999999,0.664101237990924,0.569,higher,0.7935,0.95,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,District Hospital Seppa,"District Hospital Seppa is a government-recognized healthcare facility located in East Kameng district, Arunachal Pradesh. It provides comprehensive healthcare services and is empanelled under Ayushman Bharat – PM-JAY. | [""internalMedicine"",""generalSurgery"",""orthopedicSurgery"",""pediatrics"",""dentistry"",""pulmonology"",""gynecologyAndObstetrics"",""internalMedicine"",""internalMedicine"",""infectiousDiseases"",""preventiveMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine""] | [""Immunization outreach session conducted in Pachan Morang Colony, East Kameng district, Arunachal Pradesh."",""""] | [""""] | [""District Hospital Seppa is officially empanelled under Ayushman Bharat – PMJAY scheme in East Kameng, Arunachal Pradesh."",""The hospital offers cashless and paperless treatment under PM-JAY for eligible patients across diagnostic services, medications, surgeries, ICU care and hospitalization.""","[""https://ayushmancardhospitals.com/district-hospital-seppa-east-kameng-arunachal-pradesh/"",""https://www.justdial.com/Kurung-Kumey/Hospitals-in-Koloriang/nct-10253670"",""https://www.instagram.com/p/DQ57o4nkkLT/"",""https://www.facebook.com/197289837582337"",""https://www.drlogy.com/ayushman-bharat/hospitals/arunachal-pradesh/east-kameng/district-hospital-seppa"",""https://eldercare.nears.me/places/district-hospital-seppa-elder-care-guide/"",null]"
