pincode_primary_state,pincode_primary_district,observed_facility_rows,unique_pincodes_observed,sample_facility_names,predominant_join_uncertainty
ANDHRA PRADESH,NTR,63,10,"Andhra Hospitals; Manipal Hospital, Vijayawada; Oasis Fertility; Amma Hospital; Sunrise Hospitals; Rr Hospital; MJ Naidu Super Speciality Hospital; Amritaa Diagnostics",PIN code matched India Post but no district/state match in NFHS.
TAMIL NADU,CHENGALPATTU,39,18,"Kasthuri Hospital; Parasu Dental Hospital; Supreme Speciality Hospitals; Jawahar Hospital; Shri Sathya Sai Medical College and Research Institute, Kanchipuram, Tamil Nadu; Sree Renga Hospital; Rela Hospital; Dr. Balaji Dental Hospital And Medical Centre",PIN code matched India Post but no district/state match in NFHS.
JHARKHAND,EAST SINGHBUM,25,6,"Brahmananda Narayana Multispeciality Hospital, Jamshedpur; Tata Main Hospital, Jamshedpur, Jharkhand, India; Purnima Netralaya; Awadh Dental College & Hospital; Decibel Speech & Hearing Care - Jamshedpur; Steel City Clinic & Research Centre; Healthy Smile Dental Clinic; Carderm Clinic",PIN code matched India Post but no district/state match in NFHS.
KARNATAKA,MYSURU,19,9,"JSS Medical College and Hospital, Mysore, Karnataka, India; Jss Hospital; Santasa IVF Centre and Endosurgery Institute, Mysore; Hcg Bharath Hospital & Institute Of Oncology; Cauvery Heart & Multi-Speciality Hospital; St Joseph's Hospital Mysore; Whyte Dental; Drm Multi Speciality Hospital",PIN code matched India Post but no district/state match in NFHS.
KARNATAKA,SHIVAMOGGA,18,7,Nirmala Hospital; Malnad Hospital and Institute of Oncology; KGP Hospital; Sunayana Eye Hospital; Usha Nursing Home; Prasad Netralaya; Sangam Health Care; Aradhana Orthopaedic Center,PIN code matched India Post but no district/state match in NFHS.
TELANGANA,HANUMAKONDA,17,6,Hithayu Ayurvedic & Physiotherapy Hospital; Kakatiya Superspeciality Dental Hospital; Baby’s Life Hospital; Samraksha Multi Super Speciality Hospital; Laxmi Narasimha Hospital; Jeevan Hospital; Gouda Ramesh ENT Hospital; Vinayaka Dental Clinic,PIN code matched India Post but no district/state match in NFHS.
KARNATAKA,TUMAKURU,14,6,"Sri Siddhartha Medical College, Tumakuru; Siddaganga Diagnostic Center; Spandana Nursing Home, Rajajinagar; Siddaganga Medical College & Research Institute; Jivaa Mri Centre Private Limited; Shridevi Institute Of Medical Sciences & Research Hospital; Suraksha Dental Clinic; Aditi Multi-Speciality Hospital",PIN code matched India Post but no district/state match in NFHS.
WEST BENGAL,MEDINIPUR WEST,13,8,"Nirnoy Hospital; Modern Dental Care; Railway Main Hospital, South Eastern Railway, Kharagpur; Garhbeta Rural Hospital; We Care Diagnostic & Polyclinic; Hili Rural Hospital; Spandan Diagnostic Centre; Sub-Divisional Hospital, Kharagpur",PIN code matched India Post but no district/state match in NFHS.
PUDUCHERRY,PONDICHERRY,13,9,Mahatma Gandhi Medical College and Research Institute; A. G Padmavatis Hospital; Alpha Ortho Clinic; Sree Lakshmi Narayana Institute of Medical Sciences and Hospital; Shrine Dental Care; Sri Manakula Vinayagar Medical College and Hospital; Shiny Pearls Dental Care; Srivari Liver and Jaundice Clinic,PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,SPSR NELLORE,12,3,"Medicover Hospital; Narayana Dental College and Hospital, Nellore, Andhra Pradesh, India; Star Dental Super Speciality Dental Hospital; Amrutha Chest Centre, Srihari Nagar, Nellore; Care International Dental & Implant Centre, Nellore; Allen Royal Dental; Harsha Skin Cosmetology & Laser Center; Yogitha Neuropsychiatric Centre",PIN code matched India Post but no district/state match in NFHS.
