column,dtype,non_null_rows,description
unique_id,object,10077,
source_unique_id_occurrences,int64,10077,
source_duplicate_unique_id,bool,10077,
facility_name,object,10077,
organization_type,object,10016,
facilityTypeId,object,9951,
operatorTypeId,object,9316,
address_line1,object,10008,
address_line2,object,9792,
address_line3,object,7031,
address_city,object,10013,
address_stateOrRegion,object,10014,
address_zipOrPostcode,object,10011,
pincode_extracted,object,9757,First valid six-digit Indian PIN parsed from address_zipOrPostcode.
pincode_primary_district,object,9560,Modal India Post district for the parsed PIN code.
pincode_primary_state,object,9560,
pincode_n_offices,float64,9560,
pincode_n_districts,float64,9560,
pincode_n_states,float64,9560,
pincode_is_ambiguous,object,9560,True when the PIN maps to multiple districts or states in India Post.
facility_latitude,float64,9959,
facility_longitude,float64,9959,
geo_in_india_bbox,bool,10077,
pincode_centroid_latitude,float64,9560,
pincode_centroid_longitude,float64,9560,
geo_distance_km_to_pincode_centroid,float64,9530,
geo_quality,object,10077,Coordinate quality class informed by India bounding box and PIN centroid distance.
district_name,object,9464,
state_ut,object,9464,
join_strategy,object,10077,How the row was joined to NFHS district health indicators.
join_confidence,float64,10077,Heuristic confidence score for the facility -> pincode -> health join.
join_match_score,float64,9964,
join_uncertainty_reason,object,10077,Human-readable reason why the join may be uncertain.
data_readiness_score,float64,10077,"Weighted score for pincode, health join, geography, source URLs, claim field coverage, and contact evidence."
medical_desert_priority_score,float64,9464,Planner proxy: high district health need plus low facility count in the joined sample.
health_need_score,float64,9464,"Percentile composite over adverse NFHS indicators. It is district-level context, not a facility label."
facility_count_in_joined_district_sample,float64,9464,
district_facility_count_percentile_in_sample,float64,9464,
yearEstablished,object,4797,
year_established_num,float64,4769,
capacity,object,2514,
capacity_num,float64,2511,
numberDoctors,object,3631,
number_doctors_num,float64,3629,
recency_of_page_update,object,3540,
social_media_presence_count_num,float64,9954,
post_count_num,float64,3774,
followers_num,float64,8873,
likes_num,float64,7790,
engagements_num,float64,4878,
claim_field_count,int64,10077,
has_description,bool,10077,
has_specialties,bool,10077,
has_procedure,bool,10077,
has_equipment,bool,10077,
has_capability,bool,10077,
description_len,int64,10077,
specialties_len,int64,10077,
procedure_len,int64,10077,
equipment_len,int64,10077,
capability_len,int64,10077,
has_source_urls,bool,10077,
has_contact_evidence,bool,10077,
needs_human_review,bool,10077,"Flag for low readiness, low join confidence, geography issues, sparse evidence, or extreme parsed numerics."
trustworthy_supply_signal,bool,10077,
contradicted_or_geo_invalid_signal,bool,10077,
has_maternity_care_signal,bool,10077,
has_emergency_care_signal,bool,10077,
has_diagnostic_signal,bool,10077,
has_ncd_care_signal,bool,10077,
capacity_num_extreme_outlier,bool,10077,
number_doctors_num_extreme_outlier,bool,10077,
followers_num_extreme_outlier,bool,10077,
post_count_num_extreme_outlier,bool,10077,
claim_text,object,10077,Truncated concatenation of raw extracted text fields used as claim evidence.
source_urls,object,9959,
officialWebsite,object,8413,
websites,object,10016,
officialPhone,object,9513,
phone_numbers,object,9737,
email,object,8563,
source_content_id,object,10008,
cluster_id,object,9959,
households_surveyed,float64,9464,
women_15_49_interviewed,float64,9464,
men_15_54_interviewed,float64,9464,
population_below_age_15_years_pct,float64,9464,
hh_member_covered_health_insurance_pct,float64,9464,
women_age_15_49_who_are_literate_pct,float64,9464,
women_age_15_49_with_10_or_more_years_of_schooling_pct,float64,9464,
institutional_birth_5y_pct,float64,9464,
institutional_birth_in_public_facility_5y_pct,float64,9464,
births_attended_by_skilled_hp_5y_10_pct,float64,9464,
births_delivered_by_csection_5y_pct,float64,9464,
all_w15_49_who_are_anaemic_pct,float64,9464,
w15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,float64,9464,
m15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,float64,9464,
w15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,float64,9464,
m15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,float64,9464,
women_age_30_49_years_ever_undergone_a_cervical_screen_pct,float64,9464,
women_age_30_49_years_ever_undergone_a_breast_exam_pct,float64,9464,
women_age_30_49_years_ever_undergone_an_oral_cancer_exam_pct,float64,9464,
