golden_facility_id,unique_id,source_system,source_tier,source_record_id,source_url,match_type,match_score,source_agreement_status,source_url_count,conflict_reason,can_promote_label
gfac_a159e7fbd4adada8,b8a5401f-42f1-422a-8cd9-686a15b4cb76,fdr_cleaned_facility,C,b8a5401f-42f1-422a-8cd9-686a15b4cb76,https://tgsouthernpower.org/creditcardlogin,self_seed,1.0,claim_seed,50,source_or_geography_conflict,False
gfac_a159e7fbd4adada8,b8a5401f-42f1-422a-8cd9-686a15b4cb76,india_post_pincode_bridge,A,110002.0,https://www.data.gov.in/resource/all-india-pincode-directory-till-last-month,admin_geography_context,0.95,admin_context_only,1,Exact PIN-to-district-to-health join.,False
gfac_47f4ab6c78f9005c,06d5fb63-b2f1-4001-9c7c-a9fea7241dc3,fdr_cleaned_facility,C,06d5fb63-b2f1-4001-9c7c-a9fea7241dc3,https://us-uk.bookimed.com/clinic/fortis-memorial-research-institute/,self_seed,1.0,claim_seed,50,,False
gfac_47f4ab6c78f9005c,06d5fb63-b2f1-4001-9c7c-a9fea7241dc3,india_post_pincode_bridge,A,122002.0,https://www.data.gov.in/resource/all-india-pincode-directory-till-last-month,admin_geography_context,0.95,admin_context_only,1,Exact PIN-to-district-to-health join.,False
gfac_7e866f614051e947,29b6dbe0-f471-4650-a488-10906b6ac873,fdr_cleaned_facility,C,29b6dbe0-f471-4650-a488-10906b6ac873,https://www.makemytrip.com/hotels/hotels-in-rajdanga_chakraborty_para_kolkata-kolkata.html,self_seed,1.0,claim_seed,50,,False
gfac_7e866f614051e947,29b6dbe0-f471-4650-a488-10906b6ac873,india_post_pincode_bridge,A,700027.0,https://www.data.gov.in/resource/all-india-pincode-directory-till-last-month,admin_geography_context,0.95,admin_context_only,1,Exact PIN-to-district-to-health join.,False
gfac_2b0d197ccb0bdb72,3ac5ae50-9ce2-4de3-a13c-d95a4ef218ee,fdr_cleaned_facility,C,3ac5ae50-9ce2-4de3-a13c-d95a4ef218ee,https://indianrailways.gov.in/railwayboard/print_hospital_list.jsp,self_seed,1.0,claim_seed,50,,False
gfac_2b0d197ccb0bdb72,3ac5ae50-9ce2-4de3-a13c-d95a4ef218ee,india_post_pincode_bridge,A,400078.0,https://www.data.gov.in/resource/all-india-pincode-directory-till-last-month,admin_geography_context,0.95,admin_context_only,1,Exact PIN-to-district-to-health join.,False
gfac_266a9578381fe9d0,59b6c976-2d44-4705-bcff-a83605983487,fdr_cleaned_facility,C,59b6c976-2d44-4705-bcff-a83605983487,https://online.upsmfac.org/OnLine/frm_InstituteList.aspx,self_seed,1.0,claim_seed,50,source_or_geography_conflict,False
gfac_266a9578381fe9d0,59b6c976-2d44-4705-bcff-a83605983487,india_post_pincode_bridge,A,209217.0,https://www.data.gov.in/resource/all-india-pincode-directory-till-last-month,admin_geography_context,0.95,admin_context_only,1,Exact PIN-to-district-to-health join.,False
gfac_e90de77e6130f058,77a4e680-bf90-4cd0-b4b5-32bcdd7cf61c,fdr_cleaned_facility,C,77a4e680-bf90-4cd0-b4b5-32bcdd7cf61c,https://sronashik.esic.gov.in/ro-sro-list-empanelled-centers,self_seed,1.0,claim_seed,50,source_or_geography_conflict,False
gfac_e90de77e6130f058,77a4e680-bf90-4cd0-b4b5-32bcdd7cf61c,india_post_pincode_bridge,A,422002.0,https://www.data.gov.in/resource/all-india-pincode-directory-till-last-month,admin_geography_context,0.95,admin_context_only,1,Exact PIN-to-district-to-health join.,False
