golden_facility_id,unique_id,facility_name,facility_name_norm,facilityTypeId,operatorTypeId,address_city,address_city_norm,district_name,state_ut,state_norm,address_zipOrPostcode,pincode_norm,facility_latitude,facility_longitude,h3_res7,h3_res9,evidence_tier,trainable_supervised_label,trust_posture,service_labels,capacity_band,doctor_count_band,recommended_action,abstain_reason,rule_baseline_confidence,first_source_url,source_url_count,claim_text
gfac_a159e7fbd4adada8,b8a5401f-42f1-422a-8cd9-686a15b4cb76,Aravind Eye Hospital,aravind eye hospital,hospital,private,Hyderabad,hyderabad,Central ,NCT of Delhi,nct of delhi,110002,110002,11.93823528289795,79.48544311523438,,,conflict,False,contradicted_or_geo_invalid,"[""maternity"", ""emergency"", ""diagnostic"", ""ncd""]",very_large,solo_or_small_team,verify_location_before_use,source_or_geography_conflict,0.3169,https://tgsouthernpower.org/creditcardlogin,50,"Referral hospital outside the state listed under Assam Government schemes (AAN/Atal Amrit Abhiyan). | [""ophthalmology"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""anesthesia"",""burnAndTraumaPlasticSurgery"",""otolaryngology"",""gynecologyAndObstetrics"",""neonatologyPerinatalMedicine"",""internalMedicine"",""neurosurgery"",""orthopedicSurgery"",""pediatrics"",""pediatricSurgery"",""physicalMedicineAndRehabilitation"",""pulmonology"",""dermatology"",""generalSurgery"",""radiology"",""anesthesia"",""burnAndTraumaPlasticSurgery"",""otolaryngology"",""gynecologyAndObstetrics"",""neonatologyPerinatalMedicine"",""familyPlanningAndComplexContraception"",""internalMedicine"",""neurosurgery"",""pulmonology"",""orthopedicSurgery"",""pediatrics"",""pediatricSurgery"",""physicalMedicineAndRehabilitation"",""dermatology"",""generalSurgery"",""infectiousDiseases"",""radiology"",""pathology"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""emergencyMedicine""] | [""Dialysis treatment is provided via a 20-bed Dialysis Unit with 10 machines as part of the Pradhan Mantri National Dialysis Programme"",""CT scan and MRI imaging services are available for registered IGH patients on advice"",""Routine minor and major operating theatre services are available"",""Provides Panchkarma therapies and OPD services at Charak Ayurvedic Kendra for joints (Osteoarthritis, Rheumatoid arthritis, Ankylosing spondylitis, PIVD cervical and lumbar), muscular disorders, neurological disorders (paralysis, migraine), and skin disorders (eczema, psoriasis)."",""Brain and spine surgical operations are performed in the Neurosurgery department"",""Subtraction angiography (DSA) is used for brain, sp"
gfac_47f4ab6c78f9005c,06d5fb63-b2f1-4001-9c7c-a9fea7241dc3,"Fortis Hospital, Gurugram",fortis hospital gurugram,hospital,private,Gurgaon,gurgaon,Gurgaon ,Haryana,haryana,122002,122002,28.457260131835938,77.07261657714844,,,bronze,False,passed_proxy_checks,"[""maternity"", ""emergency"", ""diagnostic"", ""ncd""]",very_large,very_large_team,use_as_proxy_only,no_tier_a_or_b_corroborated_label,0.985,https://us-uk.bookimed.com/clinic/fortis-memorial-research-institute/,50,"Fortis Memorial Research Institute (FMRI), Gurgaon, is a multi-super specialty, quaternary care hospital. It is a premium referral hospital with international faculty and top clinicians, set on an 11-acre campus with 1000 beds, built on the foundation of Talent, Technology, Infrastructure and Service. Fortis FMRI is a flagship hospital of Fortis Healthcare. | [""internalMedicine"",""neurology"",""gynecologicalOncology"",""emergencyMedicine"",""criticalCareMedicine"",""underseaAndHyperbaricMedicine"",""emergencyPreparednessAndDisasterResponse"",""pediatricEmergencyMedicine"",""hospiceAndPalliativeInternalMedicine"",""internalMedicine"",""internalMedicine"",""orthopedicSurgery"",""pediatricOrthopedicSurgery"",""internalMedicine"",""cardiology"",""internalMedicine"",""internalMedicine"",""neurosurgery"",""neurology"",""internalMedicine"",""orthopedicSurgery"",""internalMedicine"",""orthopedicSurgery"",""jointReconstructionSurgery"",""orthopedicOncology"",""internalMedicine"",""internalMedicine"",""medicalOncology"",""internalMedicine"",""infectiousDiseases"",""internalMedicine"",""anesthesiology"",""criticalCareMedicine"",""pathology"",""medicalOncology"",""surgicalOncology"",""internalMedicine"",""internalMedicine"",""plasticSurgery"",""reconstructivePlasticSurgery"",""craniofacialAndCleftOralMaxillofacialSurgery"",""handOrUpperExtremitiesAndPeripheralNerveSurgery"",""burnAndTraumaPlasticSurgery"",""internalMedicine"",""spineNeurosurgery"",""neurosurgery"",""shoulderAndElbowOrthopedicSurgery"",""peripheralNerveNeurosurgery"",""jointReconstructionSurgery"",""internalMedicine""] | [""DBS therapy for neuro disorders"",""Mechanical thrombectomy using Solitaire device for acute ischemic stroke"",""Robotic-assisted gynecologic oncology surgery performed at Fortis Memorial Research Institute"",""Performs in-vivo scalp-dose measurements during VMAT treatment for intracranial tumours u"
gfac_7e866f614051e947,29b6dbe0-f471-4650-a488-10906b6ac873,Fortis Hospital Anandapur,fortis hospital anandapur,hospital,private,Kolkata,kolkata,Kolkata ,West Bengal,west bengal,700027,700027,22.532804489135746,88.33040618896484,,,bronze,False,passed_proxy_checks,"[""maternity"", ""emergency"", ""diagnostic"", ""ncd""]",very_large,very_large_team,use_as_proxy_only,no_tier_a_or_b_corroborated_label,0.985,https://www.makemytrip.com/hotels/hotels-in-rajdanga_chakraborty_para_kolkata-kolkata.html,50,"Listed as an affiliation of Fortis Hospital, Anandapur, Kolkata, India in Cardiol Ther article 'Management of Heart Failure in a Resource-Limited Setting: Expert Opinion from India' (2024). | [""internalMedicine"",""internalMedicine"",""internalMedicine"",""medicalOncology"",""internalMedicine"",""medicalOncology"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""generalSurgery"",""emergencyMedicine"",""maternalFetalMedicineOrPerinatology"",""internalMedicine"",""medicalOncology"",""radiology"",""generalSurgery"",""cardiothoracicSurgery"",""internalMedicine"",""gynecologicOncology"",""internalMedicine"",""internalMedicine"",""medicalOncology"",""pathology"",""pulmonology"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""pediatrics"",""medicalOncology"",""generalSurgery"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""medicalOncology"",""internalMedicine"",""internalMedicine"",""medicalOncology"",""medicalOncology"",""internalMedicine"",""internalMedicine"",""neuropsychiatry"",""internalMedicine"",""internalMedicine"",""gastroenterology"",""ophthalmology"",""otolaryngology"",""pediatrics"",""gynecologyAndObstetrics"",""urology""] | ["""",""Robotic-assisted cancer surgery"",""Radiation therapy for cancer treatment"",""Hip replacement surgery is offered at Fortis Hospital, Anandapur"",""Robotic hip replacement is described as a technique within hip replacement surgery"",""Knee replacement (robotic and conventional) is offered at Fortis Hospital, Anandapur"",""Revision joint replacement is offered at Fortis Hospital, Anandapur"",""Breast oncosurgery"",""GI, HPB & Thoracic surgery"",""Gynaecologic oncosurgery"",""Head and Neck surgery"",""Uro-oncosurgery"",""Plastic and reconstructive surgery"",""Bone marrow transplantation (BMT)"",""Radiation therapy"",""Therapeutic nuclear medicine"",""Blood transfusion services"",""Histopathology tes"
gfac_2b0d197ccb0bdb72,3ac5ae50-9ce2-4de3-a13c-d95a4ef218ee,Wockhardt Hospital Nagpur,wockhardt hospital nagpur,hospital,private,Nagpur,nagpur,Mumbai Suburban ,Maharastra,maharastra,400078,400078,19.162071228027344,72.94196319580078,,,bronze,False,passed_proxy_checks,"[""maternity"", ""emergency"", ""ncd""]",very_large,large_team,use_as_proxy_only,no_tier_a_or_b_corroborated_label,0.985,https://indianrailways.gov.in/railwayboard/print_hospital_list.jsp,50,"Wockhardt Hospital Nagpur, a hospital in Nagpur offering all specialty services. | [""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""cardiacSurgery"",""interventionalCardiology"",""nonInvasiveCardiology"",""paediatricCardiacSciences"",""vascularSurgery"",""otolaryngology"",""oralAndMaxillofacialSurgery"",""generalSurgery"",""breastSurgery"",""infertilityMedicine"",""gastroenterologyAndHepatobiliarySciences"",""liverTransplantAndHepatobiliarySciences"",""nephrology"",""infectiousDiseases"",""internalMedicine"",""pediatrics"",""foetalMedicine"",""obstetricsAndGynaecology"",""paediatricOncology"",""paediatricHaematologyAndBMT"",""paediatricNephrology"",""paediatricPulmonology"",""paediatricNeurology"",""paediatricSurgery"",""sleepMedicine"",""painAndPalliativeMedicine"",""anesthesia"",""emergencyMedicine"",""dermatology"",""pediatricDermatology"",""pediatrics"",""pediatricOncology"",""ophthalmology"",""otolaryngology"",""oralAndMaxillofacialSurgery"",""corneaOphthalmology"",""cataractAndAnteriorSegmentSurgery"",""glaucomaOphthalmology"",""retinaAndVitreoretinalOphthalmology"",""oculoplasticsAndReconstructiveOrbitalSurgery"",""headAndNeckSurgeryOtolaryngology"",""organTransplant"",""heartTransplant""] | [""Robotic knee replacement surgeries"",""Fractional CO2 laser treatment is offered at S L Raheja Fortis Hospital, Mumbai through The Esthetic Clinics"",""Laser hair removal is offered at S L Raheja Fortis Hospital, Mumbai through The Esthetic Clinics"",""Chemical peel treatment is offered at S L Raheja Fortis Hospital, Mumbai through The Esthetic Clinics"",""Birthmark removal is offered at S L Raheja Fortis Hospital, Mumbai through The Esthetic Clinics"",""Tattoo removal is offered at S L Raheja Fortis Hospital, Mumbai through The Esthetic Clinics"",""Vitiligo treatment is offered at S "
gfac_266a9578381fe9d0,59b6c976-2d44-4705-bcff-a83605983487,"RAM HOSPITAL & RESEARCH CENTRE, KANPUR",ram hospital research centre kanpur,hospital,private,Kanpur,kanpur,Kanpur Nagar ,Uttar Pradesh,uttar pradesh,209217,209217,28.696605682373047,77.60749816894531,,,conflict,False,contradicted_or_geo_invalid,"[""maternity"", ""emergency"", ""ncd""]",large,large_team,verify_location_before_use,source_or_geography_conflict,0.3324,https://online.upsmfac.org/OnLine/frm_InstituteList.aspx,50,"Affiliated with Rama Medical College Hospital & Research Centre, Kanpur | [""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""orthopedicSurgery"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""infectiousDiseases"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""cardiology"",""otolaryngology"",""neurosurgery"",""urology"",""gynecologyAndObstetrics"",""orthopedicSurgery"",""ophthalmology"",""plasticSurgery"",""gastroenterology"",""nephrology"",""surgicalOncology"",""generalSurgery"",""pediatrics"",""dentistry"",""internalMedicine"",""emergencyMedicine"",""cardiology"",""criticalCareMedicine"",""internalMedicine"",""emergencyMedicine"",""nephrology"",""endocrinologyAndDiabetesAndMetabolism"",""skullBaseNeurosurgery"",""brainInjuryNeurology"",""hematology"",""internalMedicine"",""internalMedicine"",""dentistry"",""orthopedicSurgery"",""gastroenterology"",""familyMedicine"",""internalMedicine"",""internalMedicine""] | [""Offers MD/MS postgraduate medical degree programs"",""Rama Medical College, Kanpur is listed under AR Group of Education's MBBS in UP section."",""Rama Medical College, Hapur is listed under AR Group of Education's MBBS in UP section."",""Kanpur Medical Centre Pvt.Ltd is listed as a hospital in Kanpur, Uttar Pradesh"",""Open Cholecystectomy"",""Laparoscopic Cholecystectomy"",""Inguinal Hernia Surgery"",""Laparoscopic Inguinal Hernia Repair"",""Laparoscopic Umbilical Hernia Repair"",""Piles Laser Treatment"",""Fissure Laser Surgery"",""Fistula Laser Surgery"",""Pilonidal Sinus Laser Surgery"",""Total Thyroidectomy"",""Laparoscopic Myomectomy"",""Hysterectomy"",""Normal Delivery"",""Caesarean Section"",""IVF"",""Ovarian Cyst Surgery"",""Headache treatment services"",""Knee swelling treatment services"",""Shoulder pain treatment se"
gfac_e90de77e6130f058,77a4e680-bf90-4cd0-b4b5-32bcdd7cf61c,HCG Manavata Cancer Centre,hcg manavata cancer centre,hospital,private,Nashik,nashik,Nashik ,Maharastra,maharastra,422002,422002,21.105018615722656,79.10183715820312,,,conflict,False,contradicted_or_geo_invalid,"[""maternity"", ""diagnostic"", ""ncd""]",large,large_team,verify_location_before_use,source_or_geography_conflict,0.3324,https://sronashik.esic.gov.in/ro-sro-list-empanelled-centers,50,"HCG Manavata Cancer Centre in Nashik offers neurosurgery, medical oncology, onco-surgery, radiotherapy, urology, gastroenterology, GI surgery, plastic surgery (excluding cosmetic), Level-2 ultrasound, and blood bank. Imaging and diagnostic capabilities include CT scan, MRI, PET scan, Echo, and TMT cardiography. | [""neurosurgery"",""medicalOncology"",""surgicalOncology"",""radiotherapy"",""urology"",""gastroenterology"",""gastrointestinalSurgery"",""plasticSurgery"",""internalMedicine"",""internalMedicine"",""medicalOncology"",""familyMedicine"",""surgicalOncology"",""medicalOncology"",""radiology"",""nuclearMedicineAndMolecularImaging"",""internalMedicine"",""medicalOncology"",""internalMedicine"",""internalMedicine"",""familyMedicine"",""medicalOncology"",""surgicalOncology"",""radiology"",""diagnosticRadiology"",""nuclearMedicineAndMolecularImaging"",""internalMedicine"",""internalMedicine"",""medicalOncology"",""internalMedicine"",""nuclearMedicineAndMolecularImaging"",""medicalOncology"",""surgicalOncology"",""radiology"",""interventionalRadiology"",""transplantSurgery"",""hepatopancreatobiliarySurgery"",""oralAndMaxillofacialSurgery"",""orthopaedicOncology"",""paediatricHematologyOncology"",""paediatricOncology"",""painPalliative"",""psychoOncology"",""radiationOncology"",""reconstructiveSurgery"",""roboticSurgery"",""gynecologyAndObstetrics"",""infectiousDiseases"",""gastroenterology"",""urologicOncology""] | [""Neurosurgery"",""Medical Oncology"",""Onco Surgery"",""Radiotherapy"",""Urology"",""Gastroenterology"",""Gastrointestinal surgery"",""Plastic Surgery (excluding cosmetic surgery)"",""Specialized biochemical and immunological investigations"",""Acceptance testing and commissioning of Radixact X9 Tomotherapy unit at HCG Khubchandani Cancer Centre, Mumbai, June 2018"",""Mechanical and dosimetric acceptance tests performed per vendor protocols and AAPM TG-148"",""Linac alignment "
gfac_8c331024355d9fca,88c2565a-8801-4899-9745-6070316eb745,Rajarajeswari Medical College and Hospital,rajarajeswari medical college and hospital,hospital,private,Bengaluru,bengaluru,Bangalore Rural ,Karnataka,karnataka,562114,562114,13.067241668701172,77.77754974365234,,,bronze,False,passed_proxy_checks,"[""maternity"", ""emergency"", ""diagnostic"", ""ncd""]",very_large,very_large_team,use_as_proxy_only,no_tier_a_or_b_corroborated_label,0.985,https://en.wikipedia.org/wiki/Rajarajeswari_Medical_College_and_Hospital,50,"Rajarajeswari Medical College and Hospital is a private medical college and hospital in Bengaluru, Karnataka, India. It was set up by the Moogambigai Charitable and Educational Trust and is situated on Mysuru Road, Bengaluru. The college is approved and recognized by the National Medical Commission and the Ministry of Health and Family Welfare, and is affiliated to Rajiv Gandhi University of Health Sciences. | [""cardiology"",""plasticSurgery"",""orthopedicSurgery"",""pediatricSurgery"",""endocrinologyAndDiabetesAndMetabolism"",""neurology"",""nephrology"",""pediatricNeurosurgery"",""internalMedicine"",""internalMedicine"",""spineNeurosurgery"",""internalMedicine"",""internalMedicine"",""neurosurgery"",""spineNeurosurgery"",""internalMedicine"",""internalMedicine"",""dentistry"",""oralMedicine"",""radiology"",""oralAndMaxillofacialSurgery"",""endodontics"",""orthodontics"",""periodontology"",""pediatricDentistry"",""implantology"",""orofacialPain"",""publicHealth"",""dentistry"",""oralMedicineAndRadiology"",""oralAndMaxillofacialSurgery"",""endodontics"",""periodontics"",""orthodontics"",""pediatricDentistry"",""implantology"",""prosthodontics"",""orofacialPain"",""publicHealth"",""pathology"",""skullBaseNeurosurgery"",""craniomaxillofacialTraumaSurgery"",""headAndNeckSurgeryOtolaryngology"",""oralMedicine"",""radiology"",""endodontics"",""prosthodontics"",""oralAndMaxillofacialSurgery"",""periodontics"",""pediatricDentistry""] | [""Coronary angiogram"",""Coronary angioplasty"",""IVC filter placement"",""Renal angiogram"",""Pediatric minimally invasive surgery"",""Laparoscopic surgery"",""Single Incision Laparoscopic Surgery (SILS)"",""Neonatal surgery"",""Cosmetic plastic surgery and aesthetic enhancement"",""Oncologic reconstruction procedures"",""Pediatric neurosurgery"",""Dialysis"",""Has MBBS undergraduate and postgraduate programs"",""Provides MBBS education as part of MVJ Medical College"
gfac_66e63ac0584578f5,8b4d0b3f-896c-4010-8b7e-b5ebd781fb29,"Medanta The Medicity, Gurgaon, Haryana",medanta the medicity gurgaon haryana,hospital,private,Gurgaon,gurgaon,Gurgaon ,Haryana,haryana,122001,122001,28.40803337097168,76.9637451171875,,,bronze,False,passed_proxy_checks,"[""maternity"", ""ncd""]",very_large,solo_or_small_team,use_as_proxy_only,no_tier_a_or_b_corroborated_label,0.985,https://hcimbabane.gov.in/page/medical-care-in-india/,50,"Medanta-The Medicity, Sector - 38, Gurgaon, Haryana 122001, India. Phone +91-124 4141414 /+91-124 4411441; Fax +91-124 4834111; Email Id infomedanta.org; Website medanta.org | [""cardiacSurgery"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""medicalOncology"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""surgicalOncology"",""breastSurgery"",""headAndNeckSurgeryOtolaryngology"",""hepatopancreatobiliarySurgery"",""upperGIAndForegutSurgery"",""colorectalSurgery"",""gastroenterology"",""cardiothoracicSurgery"",""gynecologicalOncology"",""medicalOncology"",""internalMedicine"",""pediatricNeurosurgery"",""spineNeurosurgery"",""neurosurgery"",""gynecologyAndObstetrics"",""neurology"",""orthopedicSurgery"",""urology"",""cardiology"",""cardiacSurgery"",""plasticSurgery"",""transplantSurgery"",""pediatricHematologyOncology"",""ophthalmology"",""pediatrics"",""internalMedicine"",""spineNeurosurgery"",""neurosurgery"",""sleepMedicine"",""neuroimmunology"",""neurology"",""internalMedicine"",""gynecologyAndObstetrics""] | [""Liver transplantation is performed at Medanta – the Medicity Hospital, Sector 38, Gurgaon through its Department of Liver Transplantation"",""Robotic kidney transplantation performed with regional hypothermia to cool the graft"",""Transplantation of living donor kidneys using robotic assistance"",""Performs pediatric neurosurgery"",""Performs spine surgery"",""Laminectomy is performed on request"",""Minimally invasive spinal fusion is performed on request"",""Kyphoplasty is performed on request"",""Craniotomy is performed on request"",""Brain tumor surgery is performed on request"",""Cerebral aneurysm repair is performed on request"",""Cochlear implant placemen"
gfac_5decbdabe64dbbd7,d9bc3999-4523-4969-aac0-abd6bc415f2e,Sumitra Hospital,sumitra hospital,hospital,private,Noida,noida,,,,201 301,201301,28.580974578857425,77.35348510742188,,,bronze,False,needs_review,"[""maternity"", ""emergency"", ""diagnostic"", ""ncd""]",large,medium_team,source_enrichment_or_manual_review,no_tier_a_or_b_corroborated_label,0.4039,https://www.practo.com/noida/clinic/city-dental-centre-36-noida-sector-36,50,"Listed among Top Hospitals in Arjun Nagar. | [""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""cardiology"",""neurology"",""oncology"",""orthopedicSurgery"",""gastroenterology"",""urology"",""neurosurgery"",""transplantSurgery"",""nephrology"",""gynecologyAndObstetrics"",""pediatrics"",""reproductiveEndocrinologyAndInfertility"",""internalMedicine"",""dentistry"",""pediatricDentistry"",""oralAndMaxillofacialSurgery"",""endodontics"",""periodontics"",""orthodontics"",""prosthodontics"",""aestheticDentistry"",""internalMedicine"",""internalMedicine"",""generalSurgery"",""bariatricSurgery"",""endocrinologyAndDiabetesAndMetabolism"",""hepatopancreatobiliarySurgery"",""colorectalSurgery"",""plasticSurgery"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""ophthalmology"",""urology"",""generalSurgery"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""otolaryngology"",""internalMedicine"",""cardiology"",""criticalCareMedicine"",""anesthesia"",""dentistry"",""otolaryngology""] | [""Emergency dental care is available for facial injuries, lost fillings, or cracked teeth."",""New Born Care"",""Vaccination / Immunization"",""Growth and Development Evaluation / Management"",""Infectious Disease Treatment"",""Infant & Child Nutrition"",""Allergy Testing"",""Sumitra Hospital is listed as a hospital in Noida on Practo.""] | [""30,000 sq. ft total covered area.""] | [""Sumitra Hospital is listed as a Top Hospital in Noida on Practo"",""Sumitra Hospital is listed among Top Clinics in Sector 20, Noida on Practo"",""Listed among Top Hospitals in Arjun Nagar, Agra"",""Sumitra Hospital is listed among Top Clinics In Sector 50 Noida."",""NABH-accredited multispeciality hospital"",""Provides 24/7 emergency care"",""Provides complete laboratory services"",""Cardiology (Non-Invasive) department"",""Critical & Intensive Care department"",""Cr"
gfac_20a57d842b3dc647,e0fcd8ad-b818-4cef-975d-afdfd2e6d413,"Government Medical College, Thiruvananthapuram",government medical college thiruvananthapuram,hospital,public,Thiruvananthapuram,thiruvananthapuram,Thiruvananthapuram ,Kerala,kerala,695009,695009,9.408109664916992,76.34742736816406,,,bronze,False,needs_review,"[""maternity"", ""emergency"", ""diagnostic"", ""ncd""]",very_large,very_large_team,source_enrichment_or_manual_review,no_tier_a_or_b_corroborated_label,0.7388,https://pmc.ncbi.nlm.nih.gov/articles/PMC12507378/,50,"Government Medical College, Thiruvananthapuram is a government medical college and hospital in Thiruvananthapuram, Kerala, India. | [""pediatrics"",""neurosurgery"",""ophthalmology"",""dermatology"",""radiology"",""pathology"",""urology"",""gynecologyAndObstetrics"",""emergencyMedicine"",""internalMedicine"",""gynecologyAndObstetrics"",""pathology"",""generalSurgery"",""medicalOncology"",""radiology"",""physicalMedicineAndRehabilitation"",""internalMedicine"",""publicHealth"",""internalMedicine"",""internalMedicine"",""internalMedicine"",""gynecologyAndObstetrics"",""pediatrics"",""neonatologyPerinatalMedicine"",""pediatricCardiology"",""childNeurology"",""pediatricNephrology"",""pediatricGastroenterology"",""pediatricSurgery"",""developmental–behavioralPediatrics"",""maternalFetalMedicineOrPerinatology"",""internalMedicine"",""gynecologyAndObstetrics"",""pediatrics"",""neonatologyPerinatalMedicine"",""pediatricCardiology"",""pediatricNeurology"",""pediatricNephrology"",""pediatricGastroenterology"",""pediatricSurgery"",""maternalFetalMedicineOrPerinatology"",""reproductiveEndocrinologyAndInfertility"",""internalMedicine"",""emergencyMedicine"",""emergencyMedicine"",""internalMedicine"",""cardiology"",""cardiacSurgery"",""neurosurgery"",""neurology""] | [""Provides assisted reproductive technology services including in vitro fertilisation (IVF)."",""Provides pre-symptomatic treatment for spinal muscular atrophy (SMA) as part of rare-disease initiatives."",""Cleft lip and palate surgeries are provided at the Charles Pinto Centre for Cleft Lip and Palate"",""Hand and upper-extremity reconstructive microsurgeries are performed at Jubilee Institute of Surgery for Hand Aesthetic & Microsurgery (JISHAM)"",""Cosmetic surgery procedures are offered at JISHAM"",""Interventional neuroradiology procedures are performed at the Interventional Neurology Cathlab"",""Approximately 16,000 cleft li"
