pincode_extracted,pincode_primary_district,pincode_primary_state,pincode_n_offices,pincode_n_districts,pincode_n_states,pincode_centroid_latitude,pincode_centroid_longitude,pincode_state_norm,pincode_district_norm,pincode_is_ambiguous
110001,NEW DELHI,DELHI,23,1,1,28.60586355652174,77.22020453478261,delhi,newdelhi,False
110002,CENTRAL,DELHI,9,1,1,28.635940744444447,77.23659444444444,delhi,central,False
110003,South East,DELHI,10,3,1,28.595196069999997,77.22838761,delhi,southeast,True
110004,NEW DELHI,DELHI,1,1,1,28.6210833,77.1961389,delhi,newdelhi,False
110005,CENTRAL,DELHI,8,1,1,27.822291675,77.1644999875,delhi,central,False
110006,NORTH,DELHI,8,1,1,28.655368375000002,77.2254975375,delhi,north,False
110007,NORTH,DELHI,9,3,1,28.672449877777776,77.20540073333333,delhi,north,True
110008,WEST,DELHI,5,1,1,28.64764222,77.16675556,delhi,west,False
110009,NORTH,DELHI,7,2,1,28.70462685714286,77.19891265714286,delhi,north,True
110010,NEW DELHI,DELHI,11,1,1,28.305797109090907,77.13125601818182,delhi,newdelhi,False
110011,NEW DELHI,DELHI,2,1,1,28.610986099999998,77.21380554999999,delhi,newdelhi,False
110012,WEST,DELHI,3,1,1,28.6363611,77.16133333333333,delhi,west,False
110013,South East,DELHI,2,2,1,28.589486100000002,77.2464583,delhi,southeast,True
110014,South East,DELHI,4,2,1,28.579201375,77.25380555,delhi,southeast,True
110015,WEST,DELHI,7,1,1,28.657799285714283,77.13125761428572,delhi,west,False
110016,SOUTH,DELHI,6,1,1,28.54522946666667,77.19863314999999,delhi,south,False
110017,SOUTH,DELHI,8,1,1,28.5319738125,77.2146171375,delhi,south,False
110018,WEST,DELHI,13,1,1,28.355084876923076,76.3448887076923,delhi,west,False
110019,South East,DELHI,4,2,1,28.5397292,77.27038892499999,delhi,southeast,True
110020,South East,DELHI,5,2,1,28.54496446,77.2712988,delhi,southeast,True
110021,NEW DELHI,DELHI,6,1,1,28.590708449999997,77.16700603333334,delhi,newdelhi,False
110022,NEW DELHI,DELHI,8,1,1,28.563368275,77.17306765,delhi,newdelhi,False
110023,NEW DELHI,DELHI,5,1,1,28.575422979999995,77.20435182,delhi,newdelhi,False
110024,South East,DELHI,4,2,1,28.563847250000002,77.2340217,delhi,southeast,True
110025,South East,DELHI,5,3,2,28.557827780000004,77.27961668,delhi,southeast,True
110026,WEST,DELHI,4,1,1,28.658085775,77.13170975,delhi,west,False
110027,WEST,DELHI,6,1,1,28.642537283333336,77.11687058333332,delhi,west,False
110028,NEW DELHI,DELHI,2,1,1,28.6313205,77.13688435,delhi,newdelhi,False
110029,SOUTH,DELHI,2,1,1,28.56566975,77.20333794999999,delhi,south,False
110030,SOUTH,DELHI,7,1,1,28.519749985714288,77.18456348571428,delhi,south,False
110031,SHAHDARA,DELHI,6,2,1,28.67030555,77.27543518333333,delhi,shahdara,True
110032,SHAHDARA,DELHI,11,1,1,28.672957054545453,77.29925755454545,delhi,shahdara,False
110033,NORTH,DELHI,6,1,1,28.723717583333336,77.17099998333333,delhi,north,False
110034,NORTH WEST,DELHI,7,1,1,28.695146842857145,77.13748411428571,delhi,northwest,False
110035,NORTH WEST,DELHI,6,1,1,28.682357816666666,77.15975683333333,delhi,northwest,False
110036,NORTH,DELHI,9,1,1,28.79801538888889,77.11978394444444,delhi,north,False
110037,NEW DELHI,DELHI,5,1,1,28.54922924,77.10815958,delhi,newdelhi,False
110038,NEW DELHI,DELHI,2,1,1,28.519028300000002,77.0958042,delhi,newdelhi,False
110039,NORTH,DELHI,11,2,1,28.7996944,77.03805550909091,delhi,north,True
110040,NORTH,DELHI,9,1,1,28.8447176375,77.0855697625,delhi,north,False
110041,WEST,DELHI,11,1,1,28.67179777272727,77.03164165454545,delhi,west,False
110042,NORTH,DELHI,7,2,1,28.741793614285715,77.13669812857142,delhi,north,True
110043,WEST,DELHI,19,1,1,28.649932055555553,74.90123899999999,delhi,west,False
110044,SOUTH,DELHI,9,2,1,28.513362633333333,77.2700699,delhi,south,True
110045,SOUTH WEST,DELHI,4,1,1,25.802918175,77.4386784,delhi,southwest,False
110046,NEW DELHI,DELHI,2,1,1,28.6110556,77.10586115,delhi,newdelhi,False
110047,SOUTH,DELHI,4,1,1,28.4637045,77.13541825,delhi,south,False
110048,South East,DELHI,3,2,1,28.54176853333333,77.2388704,delhi,southeast,True
110049,South East,DELHI,6,2,1,28.559500216666667,77.21791113333333,delhi,southeast,True
110051,EAST,DELHI,4,2,1,28.660648525,77.2913323,delhi,east,True
110052,NORTH,DELHI,4,2,1,28.684708325,77.17673612499999,delhi,north,True
110053,NORTH EAST,DELHI,8,1,1,28.6519131875,77.2544340375,delhi,northeast,False
